feedback_id,date,source,player_id,player_segment,platform,game_version,game_area_hint,player_feedback
FB-001,2026-05-04 21:47,Discord,P40495,Guild Leader,PC Emulator,v1.8.0,Inventory,เปิดกาชาไปหลายสิบโรลแล้วยังไม่ได้ตัว rate up รู้สึกท้อมาก
FB-002,2026-05-23 17:26,App Store Review,P30926,Mid Spender,Android,v1.8.0,,อยากฝากทีมงานว่า Event รอบนี้ธีมน่ารักดี แต่ภารกิจซ้ำเยอะไปหน่อย ขอบคุณครับ/ค่ะ
FB-003,2026-05-13 03:22,Customer Support,P80284,Mid Spender,PC Emulator,v1.8.0,,บอสใหม่มีสกิล one shot บ่อยเกิน รู้สึกไม่แฟร์
FB-004,2026-05-12 18:12,Discord,P40512,Light Spender,iOS,v1.9.0,,อยากฝากทีมงานว่า ชอบตัวละครใหม่มาก ดีไซน์ดีและสกิลสนุก เพราะกระทบการเล่นพอสมควร
FB-005,2026-05-06 11:22,App Store Review,P80010,Mid Spender,PC Emulator,v1.8.0,Guild,อยากฝากทีมงานว่า อยากให้มีระบบ replay ดูการต่อสู้ย้อนหลัง รบกวนช่วยดูให้หน่อย
FB-006,2026-05-08 21:20,Google Form,P37653,New Player,iOS,v1.9.0,Event Shop,อยากฝากทีมงานว่า เควสต์รายสัปดาห์ให้แต้มไม่พอแลกของหลัก เพราะกระทบการเล่นพอสมควร
FB-007,2026-05-21 14:09,Play Store Review,P66155,Light Spender,iOS,v1.9.0,,ส่วนตัวคิดว่า อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก ถ้าแก้ได้จะดีมาก
FB-008,2026-05-02 03:09,Facebook Comment,P71348,Guild Leader,PC Emulator,v1.8.0,Mail Box,ส่วนตัวคิดว่า ระบบ auto battle ใช้สกิลแปลก ๆ ทำให้แพ้ทั้งที่ power ถึง
FB-009,2026-05-21 10:07,Play Store Review,P75612,F2P,Android,v1.9.1,Raid Boss,เจอบ่อยมากว่า อัปเดตรอบนี้ภาพสวยขึ้นมาก โดยเฉพาะฉากต่อสู้ใหม่ รบกวนช่วยดูให้หน่อย
FB-010,2026-05-07 04:23,Facebook Comment,P57576,New Player,PC Emulator,v1.9.0,Event Shop,เจอบ่อยมากว่า ตัวหนังสือในหน้ารายละเอียดสกิลเล็ก อ่านยากบนมือถือ เพราะกระทบการเล่นพอสมควร
FB-011,2026-05-03 02:46,Community Post,P31643,F2P,iOS,v1.8.1,Character Upgrade,แจ้งเตือนสีแดงเยอะเกินไป ไม่รู้ว่าอะไรสำคัญจริง เพราะกระทบการเล่นพอสมควร
FB-012,2026-05-07 22:19,In-game Survey,P69177,Whale,PC Emulator,v1.9.1,,อยากฝากทีมงานว่า อยากให้มีระบบ replay ดูการต่อสู้ย้อนหลัง ขอบคุณครับ/ค่ะ
FB-013,2026-05-19 07:00,Discord,P53309,New Player,PC Emulator,v1.8.1,Arena,เจอบ่อยมากว่า ราคา item ใน event shop สูงไปสำหรับผู้เล่นใหม่
FB-014,2026-05-19 18:30,App Store Review,P56438,Guild Leader,Android,v1.8.1,Daily Mission,ถ้าไม่เติมเงินแทบตามคนอื่นไม่ทัน เพราะทรัพยากรแจกน้อย ขอบคุณครับ/ค่ะ
FB-015,2026-05-11 03:15,App Store Review,P70637,Casual Player,iOS,v1.8.1,Raid Boss,ส่วนตัวคิดว่า Event รอบนี้ธีมน่ารักดี แต่ภารกิจซ้ำเยอะไปหน่อย ขอบคุณครับ/ค่ะ
FB-016,2026-05-18 00:05,App Store Review,P17685,Guild Leader,iOS,v1.9.1,Daily Mission,UI ใหม่ดูสะอาดขึ้น เข้าใจง่ายกว่าเดิม ขอบคุณครับ/ค่ะ
FB-017,2026-05-14 22:46,Community Post,P85914,Light Spender,iOS,v1.9.0,Arena,ส่วนตัวคิดว่า ของรางวัลรายวันน้อยไปเมื่อเทียบกับเวลาที่ต้องเล่น รบกวนช่วยดูให้หน่อย
FB-018,2026-05-17 16:10,Google Form,P98501,Returning Player,PC Emulator,v1.8.1,Event Shop,เจอบ่อยมากว่า โหลดแพตช์ช้ามาก ทั้งที่เน็ตปกติ ใช้เวลานานกว่าทุกอัปเดตที่ผ่านมา ถ้าแก้ได้จะดีมาก
FB-019,2026-05-03 13:42,Customer Support,P27154,Light Spender,Android,v1.9.0,Daily Mission,ระบบ auto battle ใช้สกิลแปลก ๆ ทำให้แพ้ทั้งที่ power ถึง เพราะกระทบการเล่นพอสมควร
FB-020,2026-05-19 03:04,App Store Review,P19016,Mid Spender,PC Emulator,v1.8.1,,ส่วนตัวคิดว่า ราคา item ใน event shop สูงไปสำหรับผู้เล่นใหม่ เพราะกระทบการเล่นพอสมควร
FB-021,2026-05-20 20:33,Google Form,P27601,Mid Spender,PC Emulator,v1.8.0,,อยากฝากทีมงานว่า บอสใหม่มีสกิล one shot บ่อยเกิน รู้สึกไม่แฟร์ รบกวนช่วยดูให้หน่อย
FB-022,2026-05-23 10:13,Play Store Review,P16658,Casual Player,PC Emulator,v1.9.0,,เจอบ่อยมากว่า อยากให้มีระบบ guild boss ที่ทุกคนช่วยกันตี
FB-023,2026-05-21 08:10,Community Post,P81511,Guild Leader,PC Emulator,v1.8.0,Guild,บางทีมใน PvP ชนะง่ายเกินไปจน meta แคบมาก
FB-024,2026-05-12 01:57,Customer Support,P63264,Light Spender,iOS,v1.8.0,Character Upgrade,บอสใหม่มีสกิล one shot บ่อยเกิน รู้สึกไม่แฟร์ รบกวนช่วยดูให้หน่อย
FB-025,2026-05-06 23:59,Customer Support,P60140,Light Spender,Android,v1.9.0,Event Shop,ส่วนตัวคิดว่า หน้า inventory กรองของได้ไม่ละเอียด หา item ที่ต้องใช้ยาก
FB-026,2026-05-08 07:01,App Store Review,P46585,Whale,Android,v1.9.0,,ช่วยเพิ่มภาษาไทยในเสียงพากย์หรืออย่างน้อย subtitle ให้ครบ รบกวนช่วยดูให้หน่อย
FB-027,2026-05-19 08:02,Discord,P51114,Guild Leader,PC Emulator,v1.9.0,,อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก
FB-028,2026-05-02 22:27,Google Form,P91678,Light Spender,PC Emulator,v1.9.0,Story Chapter,ล็อกอินด้วย Facebook ไม่ได้ตั้งแต่เมื่อวาน รบกวนช่วยดูให้หน่อย
FB-029,2026-05-11 12:44,Play Store Review,P98777,F2P,PC Emulator,v1.8.1,Daily Mission,อยากฝากทีมงานว่า อยากได้ skin ฟรีจาก event มากขึ้น ไม่ใช่มีแต่ขายใน shop ถ้าแก้ได้จะดีมาก
FB-030,2026-05-10 06:27,Customer Support,P72021,Casual Player,Android,v1.9.1,Character Upgrade,ของที่ต้องใช้ปลุกพลังหายากเกินไป ฟาร์มทั้งวันยังไม่พอ รบกวนช่วยดูให้หน่อย
FB-031,2026-05-21 19:21,Discord,P29313,Mid Spender,iOS,v1.8.1,,เจอบ่อยมากว่า Event รอบนี้ทำให้กลับมาเล่นทุกวันอีกครั้ง ขอบคุณครับ/ค่ะ
FB-032,2026-05-14 20:36,App Store Review,P95990,Guild Leader,PC Emulator,v1.9.1,Guild,เสียงเอฟเฟกต์หายหลังจบการต่อสู้ ต้อง restart เกมถึงกลับมา ถ้าแก้ได้จะดีมาก
FB-033,2026-05-17 14:03,App Store Review,P97500,Casual Player,iOS,v1.8.1,,ขอตัวละครสายซัพพอร์ตใหม่ ๆ บ้าง ตอนนี้มีแต่ดาเมจ ขอบคุณครับ/ค่ะ
FB-034,2026-05-14 17:28,Facebook Comment,P93579,Casual Player,PC Emulator,v1.9.1,Inventory,อยากฝากทีมงานว่า อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก เพราะกระทบการเล่นพอสมควร
FB-035,2026-05-23 09:15,Play Store Review,P60205,Whale,Android,v1.8.0,Inventory,ส่วนตัวคิดว่า Tutorial ช่วงแรกเร็วไป อธิบายระบบเยอะจนจำไม่ทัน
FB-036,2026-05-15 13:03,App Store Review,P85456,Guild Leader,Android,v1.8.0,,อยากให้ pity ชัดเจนกว่านี้ ตอนนี้อ่านเงื่อนไขแล้วงง เพราะกระทบการเล่นพอสมควร
FB-037,2026-05-18 23:47,App Store Review,P60968,Light Spender,Android,v1.9.0,Arena,ส่วนตัวคิดว่า ด่าน Story Chapter ยากเกินไปสำหรับคนที่เพิ่งเริ่มเล่นไม่ถึงเดือน ถ้าแก้ได้จะดีมาก
FB-038,2026-05-18 00:58,In-game Survey,P70515,New Player,PC Emulator,v1.8.0,Guild,โปรโมชันรายเดือนคุ้มดี แต่หน้า shop อธิบายสิทธิ์ไม่ชัด เพราะกระทบการเล่นพอสมควร
FB-039,2026-05-11 10:48,In-game Survey,P71644,Guild Leader,Android,v1.9.0,,ของที่ต้องใช้ปลุกพลังหายากเกินไป ฟาร์มทั้งวันยังไม่พอ ถ้าแก้ได้จะดีมาก
FB-040,2026-05-02 00:15,App Store Review,P83920,F2P,iOS,v1.8.1,Event Shop,อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก ขอบคุณครับ/ค่ะ
FB-041,2026-05-23 03:49,Facebook Comment,P85470,Returning Player,Android,v1.8.0,,เจอบ่อยมากว่า ชอบ mini game ใน event นี้ เล่นง่ายและไม่เครียด เพราะกระทบการเล่นพอสมควร
FB-042,2026-05-21 07:06,Play Store Review,P96706,Returning Player,PC Emulator,v1.8.0,Daily Mission,เจอบ่อยมากว่า ของแจกครบรอบดีเกินคาด รู้สึกว่าเกมใส่ใจผู้เล่น ขอบคุณครับ/ค่ะ
FB-043,2026-05-14 11:40,Community Post,P95256,F2P,PC Emulator,v1.9.1,Character Upgrade,ส่วนตัวคิดว่า พลังที่แนะนำในด่านไม่ตรงกับความยากจริง
FB-044,2026-05-09 10:54,App Store Review,P84691,Mid Spender,iOS,v1.9.1,Gacha Banner,อยากฝากทีมงานว่า Tutorial ช่วงแรกเร็วไป อธิบายระบบเยอะจนจำไม่ทัน เพราะกระทบการเล่นพอสมควร
FB-045,2026-05-07 11:51,Play Store Review,P35042,Mid Spender,Android,v1.9.0,Character Upgrade,ด่าน Gacha Banner ยากเกินไปสำหรับคนที่เพิ่งเริ่มเล่นไม่ถึงเดือน ถ้าแก้ได้จะดีมาก
FB-046,2026-05-21 22:31,Community Post,P50135,Returning Player,iOS,v1.9.0,Inventory,อยากฝากทีมงานว่า Tutorial ช่วงแรกเร็วไป อธิบายระบบเยอะจนจำไม่ทัน ถ้าแก้ได้จะดีมาก
FB-047,2026-05-12 22:29,Play Store Review,P51359,Mid Spender,Android,v1.8.1,Inventory,เจอบ่อยมากว่า พลังที่แนะนำในด่านไม่ตรงกับความยากจริง รบกวนช่วยดูให้หน่อย
FB-048,2026-05-09 23:37,Play Store Review,P49618,Light Spender,iOS,v1.9.0,Guild,อยากฝากทีมงานว่า เนื้อเรื่อง event สนุก แต่อยากให้มีเสียงพากย์เพิ่ม ถ้าแก้ได้จะดีมาก
FB-049,2026-05-23 04:40,Community Post,P54657,New Player,iOS,v1.9.0,Gacha Banner,เจอบ่อยมากว่า ชอบ mini game ใน event นี้ เล่นง่ายและไม่เครียด รบกวนช่วยดูให้หน่อย
FB-050,2026-05-03 18:40,Google Form,P25525,F2P,iOS,v1.9.0,Inventory,ส่วนตัวคิดว่า ระบบแจ้งเตือนเควสต์ขึ้นซ้ำ ๆ ทั้งที่เคลียร์ไปแล้ว ถ้าแก้ได้จะดีมาก
FB-051,2026-05-10 18:27,Play Store Review,P37235,New Player,PC Emulator,v1.8.0,,ส่วนตัวคิดว่า ระบบ auto battle ใช้สกิลแปลก ๆ ทำให้แพ้ทั้งที่ power ถึง ถ้าแก้ได้จะดีมาก
FB-052,2026-05-03 05:00,In-game Survey,P47056,Casual Player,Android,v1.9.0,Raid Boss,กิจกรรมนี้ใช้ stamina เยอะ แต่ของแลกในร้านไม่ค่อยคุ้ม เพราะกระทบการเล่นพอสมควร
FB-053,2026-05-07 13:07,App Store Review,P19359,F2P,PC Emulator,v1.9.0,,เจอบ่อยมากว่า ภารกิจ event บังคับเล่นหลายรอบจนรู้สึก grind มาก ขอบคุณครับ/ค่ะ
FB-054,2026-05-10 22:25,Play Store Review,P66626,Casual Player,PC Emulator,v1.9.1,Arena,ส่วนตัวคิดว่า แจ้งเตือนสีแดงเยอะเกินไป ไม่รู้ว่าอะไรสำคัญจริง ขอบคุณครับ/ค่ะ
FB-055,2026-05-19 00:48,Play Store Review,P46458,New Player,PC Emulator,v1.8.1,Gacha Banner,อยากฝากทีมงานว่า เปิดกาชาไปหลายสิบโรลแล้วยังไม่ได้ตัว rate up รู้สึกท้อมาก เพราะกระทบการเล่นพอสมควร
FB-056,2026-05-14 10:20,Discord,P96846,Whale,iOS,v1.9.1,Raid Boss,ส่วนตัวคิดว่า เควสต์รายสัปดาห์ให้แต้มไม่พอแลกของหลัก รบกวนช่วยดูให้หน่อย
FB-057,2026-05-11 03:49,In-game Survey,P77952,New Player,PC Emulator,v1.9.1,Inventory,เมนู Gacha Banner หาเจอยาก ต้องกดหลายขั้นตอนเกินไป รบกวนช่วยดูให้หน่อย
FB-058,2026-05-05 09:28,Community Post,P50730,New Player,iOS,v1.8.1,,Tutorial ช่วงแรกเร็วไป อธิบายระบบเยอะจนจำไม่ทัน เพราะกระทบการเล่นพอสมควร
FB-059,2026-05-21 04:31,Play Store Review,P71894,Mid Spender,PC Emulator,v1.9.1,,ส่วนตัวคิดว่า เวลาจัด event สั้นเกินไป คนทำงานตามเก็บของไม่ทัน
FB-060,2026-05-05 02:17,In-game Survey,P86931,Mid Spender,Android,v1.8.0,Raid Boss,เจอบ่อยมากว่า อยากให้มีปฏิทิน event ล่วงหน้า จะได้วางแผนใช้ทรัพยากร ขอบคุณครับ/ค่ะ
FB-061,2026-05-11 17:48,In-game Survey,P41300,Whale,Android,v1.8.1,,ส่วนตัวคิดว่า แพ็กเกจเติมเงินราคาสูงไปเมื่อเทียบกับจำนวนเพชรที่ได้ รบกวนช่วยดูให้หน่อย
FB-062,2026-05-16 22:58,In-game Survey,P26547,F2P,Android,v1.9.1,,ภารกิจ event บังคับเล่นหลายรอบจนรู้สึก grind มาก ขอบคุณครับ/ค่ะ
FB-063,2026-05-01 23:09,In-game Survey,P54375,F2P,PC Emulator,v1.8.0,Raid Boss,เจอบ่อยมากว่า อยากให้ pity ชัดเจนกว่านี้ ตอนนี้อ่านเงื่อนไขแล้วงง ถ้าแก้ได้จะดีมาก
FB-064,2026-05-13 10:40,Community Post,P39817,New Player,PC Emulator,v1.8.0,Raid Boss,อยากฝากทีมงานว่า โปรโมชันรายเดือนคุ้มดี แต่หน้า shop อธิบายสิทธิ์ไม่ชัด เพราะกระทบการเล่นพอสมควร
FB-065,2026-05-15 05:44,Play Store Review,P48452,New Player,iOS,v1.9.0,,อยากฝากทีมงานว่า ปุ่มย้อนกลับบางหน้าพาออกไปหน้าแรกเลย ทำให้เสียเวลา
FB-066,2026-05-06 05:11,Discord,P28758,Guild Leader,PC Emulator,v1.8.1,Mail Box,เจอบ่อยมากว่า ระบบ auto battle ใช้สกิลแปลก ๆ ทำให้แพ้ทั้งที่ power ถึง ขอบคุณครับ/ค่ะ
FB-067,2026-05-10 21:34,Facebook Comment,P49210,Casual Player,iOS,v1.9.0,,รู้สึกว่าเกมเริ่ม pay to win มากขึ้นหลังอัปเดตนี้ ถ้าแก้ได้จะดีมาก
FB-068,2026-05-13 15:06,App Store Review,P48696,Whale,Android,v1.9.0,,โปรโมชันรายเดือนคุ้มดี แต่หน้า shop อธิบายสิทธิ์ไม่ชัด
FB-069,2026-05-02 19:47,Community Post,P91381,Light Spender,Android,v1.9.0,Inventory,เจอบ่อยมากว่า เกมแลคมากในด่านบอสใหม่ เฟรมตกจนกดหลบไม่ทัน ขอบคุณครับ/ค่ะ
FB-070,2026-05-10 14:02,Customer Support,P52823,F2P,PC Emulator,v1.8.0,,อยากฝากทีมงานว่า อยากให้มีปุ่ม claim all สำหรับของรางวัลหลายรายการ
FB-071,2026-05-09 05:16,Community Post,P28449,Whale,Android,v1.8.0,Event Shop,เจอบ่อยมากว่า ทองในเกมขาดตลอด อัปเกรดตัวละครแทบไม่พอ เพราะกระทบการเล่นพอสมควร
FB-072,2026-05-01 08:34,Discord,P24201,Whale,Android,v1.9.0,Story Chapter,เควสต์รายสัปดาห์ให้แต้มไม่พอแลกของหลัก ถ้าแก้ได้จะดีมาก
FB-073,2026-05-21 14:58,Play Store Review,P49893,Guild Leader,PC Emulator,v1.8.0,Arena,อยากฝากทีมงานว่า อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก
FB-074,2026-05-12 21:47,In-game Survey,P90694,F2P,PC Emulator,v1.9.1,Gacha Banner,ส่วนตัวคิดว่า เสียงเอฟเฟกต์หายหลังจบการต่อสู้ ต้อง restart เกมถึงกลับมา ถ้าแก้ได้จะดีมาก
FB-075,2026-05-08 11:06,Customer Support,P26011,Whale,PC Emulator,v1.8.0,Inventory,ส่วนตัวคิดว่า อัปเดตรอบนี้ภาพสวยขึ้นมาก โดยเฉพาะฉากต่อสู้ใหม่ ถ้าแก้ได้จะดีมาก
